slug,degree,betweenness,closeness,eigenvector
argentina,0.0273972602739726,0.02821730946605497,0.507908611599297,0.013233224784116636
belarus,0.0273972602739726,7.49475796479074e-05,0.42688330871491875,0.01455059189479314
montenegro,0.0273972602739726,8.179113952690585e-05,0.4565560821484992,0.0257190697021405
israel,0.0273972602739726,0.0002783118346341261,0.3953488372093023,0.005609138342290141
mauritius,0.0273972602739726,0.0012508345820796325,0.42066957787481807,0.0034810174865105192
myanmar,0.0273972602739726,6.848474207023678e-05,0.37290322580645163,0.0029399466667130495
laos,0.0273972602739726,0.0003634739937482535,0.47145187601957583,0.0128841337125862
iceland,0.0273972602739726,3.973433045878254e-05,0.4099290780141844,0.009661263952641096
brunei,0.0273972602739726,0.0003634739937482535,0.47145187601957583,0.0128841337125862
cameroon,0.0273972602739726,0.0008563535911602207,0.3537331701346389,0.0009527833204634845
cote-divoire,0.0273972602739726,0.0006913662593163339,0.37581274382314694,0.0014129231683211066
benin,0.0273972602739726,0.0008541330778899838,0.3537331701346389,0.0009122255075746897
belize,0.0136986301369863,0.0,0.4522691705790297,0.01447252349967691
bolivia,0.0136986301369863,0.0,0.3356562137049942,0.00031743197442588185
azerbaijan,0.0136986301369863,0.0,0.4522691705790297,0.01447252349967691
eu-member-states,0.0136986301369863,0.0,0.38584779706275035,0.0026485054200839665
congo,0.0136986301369863,0.0,0.3503030303030303,0.0005667145904321224
chile,0.0136986301369863,0.0,0.3356562137049942,0.00031743197442588185
chad,0.0136986301369863,0.0,0.3503030303030303,0.0005667145904321224
burkina-faso,0.0136986301369863,0.0,0.3503030303030303,0.0005667145904321224
cote-d-ivoire,0.0136986301369863,0.0,0.4668820678513732,0.011183288424011246
croatia,0.0136986301369863,0.0,0.36909323116219667,0.002272306211656312
bosnia-and-herzegovina,0.0136986301369863,0.0,0.4099290780141844,0.008106416619953472
botswana,0.0136986301369863,0.0,0.3503030303030303,0.0005667145904321224
guyana,0.0136986301369863,0.0,0.3356562137049942,0.00031743197442588185
gambia,0.0136986301369863,0.0,0.3404004711425206,0.00038606873003136223
gabon,0.0136986301369863,0.0,0.3503030303030303,0.0005667145904321224
czechia,0.0136986301369863,0.0,0.4218978102189781,0.010005149545798142
democratic-republic-of-the-congo,0.0136986301369863,0.0,0.3503030303030303,0.0005667145904321224
djibouti,0.0136986301369863,0.0,0.3503030303030303,0.0005667145904321224
ecuador,0.0136986301369863,0.0,0.3356562137049942,0.00031743197442588185
new-zealand,0.0136986301369863,0.0,0.4146341463414634,0.010845527547742088
international,0.0136986301369863,0.0,0.3942701227830832,0.005405077243031097
hong-kong,0.0136986301369863,0.0,0.3537331701346389,0.0015671230282917465
hong-kong-china,0.0136986301369863,0.0,0.4668820678513732,0.011183288424011246
maldives,0.0136986301369863,0.0,0.4668820678513732,0.011183288424011246
malawi,0.0136986301369863,0.0,0.3503030303030303,0.0005667145904321224
kazakhstan,0.0136986301369863,0.0,0.4890016920473773,0.012915792809690754
kosovo,0.0136986301369863,0.0,0.38896366083445494,0.001888243918924057
kyrgyzstan,0.0136986301369863,0.0,0.4668820678513732,0.011183288424011246
paraguay,0.0136986301369863,0.0,0.3356562137049942,0.00031743197442588185
pakistan,0.0136986301369863,0.0,0.38584779706275035,0.0026485054200839665
slovenia,0.0136986301369863,0.0,0.4668820678513732,0.011183288424011246
south-sudan,0.0136986301369863,0.0,0.3503030303030303,0.0005667145904321224
peru,0.0136986301369863,0.0,0.3356562137049942,0.00031743197442588185
russia,0.0136986301369863,0.0,0.39643347050754457,0.0042997793906163016
rwanda,0.0136986301369863,0.0,0.3404004711425206,0.0003455109171425674
senegal,0.0136986301369863,0.0,0.3503030303030303,0.0005667145904321224
suriname,0.0136986301369863,0.0,0.3356562137049942,0.00031743197442588185
turkey,0.0136986301369863,0.0,0.4345864661654135,0.005530844324389092
togo,0.0136986301369863,0.0,0.3404004711425206,0.0003455109171425674
tanzania,0.0136986301369863,0.0,0.3404004711425206,0.00038606873003136223
uganda,0.0136986301369863,0.0,0.3503030303030303,0.0005667145904321224
uruguay,0.0136986301369863,0.0,0.3356562137049942,0.00031743197442588185
venezuela,0.0136986301369863,0.0,0.3356562137049942,0.00031743197442588185
zimbabwe,0.0136986301369863,0.0,0.3503030303030303,0.0005667145904321224
