kind,slug,role,core_periphery,partition_value,degree,betweenness,total_brokerage
country,greece,participant,core,southern-europe,0.0410958904109589,9.746338198784892e-05,2
country,guyana,participant,core,south-america,0.0136986301369863,0.0,0
country,hong-kong,participant,core,east-asia,0.0136986301369863,0.0,0
country,hong-kong-china,participant,core,unknown,0.0136986301369863,0.0,0
country,hungary,participant,core,central-europe,0.0684931506849315,0.0026540713265877,208
country,iceland,participant,core,northern-europe,0.0273972602739726,3.973433045878254e-05,2
country,india,participant,core,south-asia,0.0684931506849315,0.0053960163680983,892
country,indonesia,participant,core,southeast-asia,0.0547945205479452,0.0027305060977856,234
country,international,participant,core,transnational,0.0136986301369863,0.0,0
country,ireland,participant,core,western-europe,0.0684931506849315,0.0036601040495461,664
country,israel,participant,core,middle-east,0.0273972602739726,0.0002783118346341,20
country,italy,participant,core,southern-europe,0.1780821917808219,0.0114559477647132,640
country,japan,participant,core,east-asia,0.1643835616438356,0.0194947949500808,1122
country,kazakhstan,participant,core,unknown,0.0136986301369863,0.0,0
country,kenya,participant,core,east-africa,0.0410958904109589,0.0103191615297261,344
country,kosovo,participant,core,western-balkans,0.0136986301369863,0.0,0
country,kyrgyzstan,participant,core,unknown,0.0136986301369863,0.0,0
country,laos,participant,core,unknown,0.0273972602739726,0.0003634739937482,56
country,latvia,participant,core,eastern-europe,0.0821917808219178,0.0012689238889545,152
country,lithuania,participant,core,eastern-europe,0.1095890410958904,0.0022807190735722,156
country,luxembourg,participant,core,western-europe,0.0547945205479452,0.0008742382357816,200
country,malawi,participant,core,unknown,0.0136986301369863,0.0,0
country,malaysia,participant,core,southeast-asia,0.0958904109589041,0.0116692654149478,580
country,maldives,participant,core,unknown,0.0136986301369863,0.0,0
country,mauritius,participant,core,east-africa,0.0273972602739726,0.0012508345820796,22
country,moldova,participant,core,eastern-europe,0.0684931506849315,0.0013492518027855,98
country,montenegro,participant,core,southeastern-europe,0.0273972602739726,8.179113952690585e-05,28
country,myanmar,participant,core,unknown,0.0273972602739726,6.848474207023678e-05,0
country,netherlands,regional-coordinator,core,western-europe,0.3972602739726027,0.0454893985884828,754
country,new-zealand,participant,core,unknown,0.0136986301369863,0.0,0
country,nigeria,specialist-broker,core,west-africa,0.1232876712328767,0.1071075450317713,2504
country,norway,participant,core,western-europe,0.0273972602739726,0.0002756444694067,4
country,pakistan,participant,periphery,south-asia,0.0136986301369863,0.0,0
country,paraguay,participant,core,south-america,0.0136986301369863,0.0,0
country,peru,participant,core,south-america,0.0136986301369863,0.0,0
country,philippines,participant,core,unknown,0.0547945205479452,0.0027305060977856,234
country,poland,regional-coordinator,core,eastern-europe,0.1643835616438356,0.0186188649630499,1672
country,portugal,participant,core,western-europe,0.1095890410958904,0.0075496665590089,606
country,romania,regional-coordinator,core,eastern-europe,0.1917808219178082,0.0181572221052591,1550
country,russia,participant,periphery,unknown,0.0136986301369863,0.0,0
country,rwanda,participant,core,east-africa,0.0136986301369863,0.0,0
country,senegal,participant,core,unknown,0.0136986301369863,0.0,0
country,singapore,participant,core,southeast-asia,0.136986301369863,0.0254582062523315,1530
country,slovenia,participant,core,unknown,0.0136986301369863,0.0,0
country,south-africa,specialist-broker,core,southern-africa,0.0684931506849315,0.0657659436052746,2026
country,south-korea,participant,core,east-asia,0.0958904109589041,0.0144294692336169,392
country,south-sudan,participant,core,unknown,0.0136986301369863,0.0,0
country,spain,regional-coordinator,core,western-europe,0.2602739726027397,0.0408050715057503,1718
country,suriname,participant,core,south-america,0.0136986301369863,0.0,0
country,sweden,participant,core,northern-europe,0.1780821917808219,0.0158394581447699,1574
country,switzerland,regional-coordinator,core,western-europe,0.1643835616438356,0.0111852973758084,328
country,taiwan,participant,core,east-asia,0.0410958904109589,0.0004025843995343,28
