slug,degree,betweenness,closeness,eigenvector
cambodia,0.029411764705882353,0.0013242265726474637,0.24189937361083047,0.0011952186511192953
cameroon,0.029411764705882353,0.0005185848634124496,0.21621094455481307,0.00023081717927545784
cote-divoire,0.029411764705882353,0.007819596489456434,0.26848172235927337,0.0015323612021867247
croatia,0.029411764705882353,0.0006579629606914962,0.28743337334933977,0.011571380719238182
cyprus,0.029411764705882353,0.0004813654464795651,0.28551395182446937,0.011517642266705628
democratic-republic-of-the-congo,0.029411764705882353,0.0005185848634124496,0.21621094455481307,0.00023081717927545784
gabon,0.029411764705882353,0.0005185848634124496,0.21621094455481307,0.00023081717927545784
ghana,0.029411764705882353,0.0005185848634124496,0.21621094455481307,0.00023081717927545784
ireland,0.029411764705882353,2.5889492654421783e-05,0.2460760534429599,0.017872653680968964
israel,0.029411764705882353,8.880833598472844e-05,0.28456382220109344,0.010872590619987797
kenya,0.029411764705882353,0.0005185848634124496,0.21621094455481307,0.00023081717927545784
laos,0.029411764705882353,0.0013242265726474637,0.24189937361083047,0.0011952186511192953
macau,0.029411764705882353,0.0036071770505723194,0.21954153676875113,0.0008225117908681131
mauritius,0.029411764705882353,0.010418960537986978,0.2710346388951777,0.0026636407178499853
montenegro,0.029411764705882353,0.00011396747367386021,0.27539912583390846,0.021360840113057382
myanmar,0.029411764705882353,0.000315188517100025,0.2308000771158666,0.0008315381669999522
senegal,0.029411764705882353,0.0005185848634124496,0.21621094455481307,0.00023081717927545784
serbia,0.029411764705882353,0.0008233987980482424,0.29435947873125157,0.012047009767351152
south-africa,0.029411764705882353,0.0005185848634124496,0.21621094455481307,0.00023081717927545784
taiwan,0.029411764705882353,0.00011396747367386021,0.27539912583390846,0.021360840113057382
zambia,0.029411764705882353,0.0005185848634124496,0.21621094455481307,0.00023081717927545784
zimbabwe,0.029411764705882353,0.0005185848634124496,0.21621094455481307,0.00023081717927545784
algeria,0.014705882352941176,0.0,0.21140031785272825,0.00012614834624093843
angola,0.014705882352941176,0.0,0.21140031785272825,0.00012614834624093843
argentina,0.014705882352941176,0.0,0.20335654832682182,0.00019382122634611083
azerbaijan,0.014705882352941176,0.0,0.2727637275005696,0.012131076503502302
belarus,0.014705882352941176,0.0,0.25412014434302693,0.009229763609555084
belize,0.014705882352941176,0.0,0.2727637275005696,0.012131076503502302
bolivia,0.014705882352941176,0.0,0.20335654832682182,0.00019382122634611083
botswana,0.014705882352941176,0.0,0.2108789853796019,0.00010466883303451941
burkina-faso,0.014705882352941176,0.0,0.2108789853796019,0.00010466883303451941
chad,0.014705882352941176,0.0,0.2108789853796019,0.00010466883303451941
chile,0.014705882352941176,0.0,0.20335654832682182,0.00019382122634611083
congo,0.014705882352941176,0.0,0.2108789853796019,0.00010466883303451941
costa-rica,0.014705882352941176,0.0,0.28361999526178633,0.007488049840868594
czechia,0.014705882352941176,0.0,0.2526186959274108,0.007848936607424195
djibouti,0.014705882352941176,0.0,0.2108789853796019,0.00010466883303451941
ecuador,0.014705882352941176,0.0,0.20335654832682182,0.00019382122634611083
eu-member-states,0.014705882352941176,0.0,0.23268415937803694,0.0023865924757055248
greece,0.014705882352941176,0.0,0.2372022983950862,0.0053202902685997215
guyana,0.014705882352941176,0.0,0.20335654832682182,0.00019382122634611083
kazakhstan,0.014705882352941176,0.0,0.21512309074573224,0.0007259665958475333
kosovo,0.014705882352941176,0.0,0.24536995285919244,0.0045589599264825595
macedonia,0.014705882352941176,0.0,0.28361999526178633,0.007488049840868594
madagascar,0.014705882352941176,0.0,0.1787072697417525,9.654519502057989e-05
malawi,0.014705882352941176,0.0,0.2108789853796019,0.00010466883303451941
mongolia,0.014705882352941176,0.0,0.1787072697417525,9.654519502057989e-05
morocco,0.014705882352941176,0.0,0.005714285714285714,9.026284905046186e-116
mozambique,0.014705882352941176,0.0,0.21140031785272825,0.00012614834624093843
new-zealand,0.014705882352941176,0.0,0.2496684045881126,0.009177178580907394
pakistan,0.014705882352941176,0.0,0.23268415937803694,0.0023865924757055248
paraguay,0.014705882352941176,0.0,0.20335654832682182,0.00019382122634611083
peru,0.014705882352941176,0.0,0.20335654832682182,0.00019382122634611083
russia,0.014705882352941176,0.0,0.24536995285919244,0.0033340609616542335
rwanda,0.014705882352941176,0.0,0.21140031785272825,0.00012614834624093843
south-sudan,0.014705882352941176,0.0,0.2108789853796019,0.00010466883303451941
suriname,0.014705882352941176,0.0,0.20335654832682182,0.00019382122634611083
