slug,degree,betweenness,closeness,eigenvector
office-of-international-affairs,0.024096385542168676,0.00151872556722501,0.26977108036890646,0.01493259303027995
portugal-police,0.024096385542168676,2.7177741923897834e-05,0.2665402889872429,0.029357274673982883
portuguese-judicial-police,0.024096385542168676,0.0002034315105475747,0.24729015700483092,0.008632974890067058
romania-police,0.024096385542168676,2.7177741923897834e-05,0.2665402889872429,0.029357274673982883
spain-guardia-civil,0.024096385542168676,2.689899958873217e-05,0.2595465204715427,0.021663392419760886
spain-national-police,0.024096385542168676,4.652728280668408e-05,0.23931305516596543,0.008420889887903632
spanish-national-police,0.024096385542168676,0.00015027320294816167,0.24797898752573577,0.007243926480893178
sweden-police,0.024096385542168676,1.0229402602887992e-05,0.2595465204715427,0.025003079169869425
us-dcis,0.024096385542168676,2.628162361590644e-05,0.2665402889872429,0.030565716108900524
ameripol,0.012048192771084338,0.0,0.2543555900621118,0.00434114503747357
brazil-ministry-of-justice-public-security,0.012048192771084338,0.0,0.19783212560386473,0.0009404811834782249
bulgaria-general-directorate-for-combatting-organized-crime,0.012048192771084338,0.0,0.25655462974564597,0.007556165686735501
cambodian-national-police,0.012048192771084338,0.0,0.15114508747324132,4.738504857131447e-06
chinese-police-qingdao,0.012048192771084338,0.0,0.007246376811594202,1.0841834445644118e-91
chinese-public-security-bureau,0.012048192771084338,0.0,0.18057699091630655,2.798206122642343e-05
city-of-london-police-ip-crime-unit,0.012048192771084338,0.0,0.19783212560386473,0.0009404811834782249
dea,0.012048192771084338,0.0,0.21607877796538627,0.0034213342054907484
dutch-police,0.012048192771084338,0.0,0.24524643669900587,0.0048590274726413845
frontex,0.012048192771084338,0.0,0.2543555900621118,0.00434114503747357
general-police-inspectorate-of-moldova,0.012048192771084338,0.0,0.25655462974564597,0.007556165686735501
german-prosecution,0.012048192771084338,0.0,0.2580419029615627,0.004969833619526955
homeland-security-investigations,0.012048192771084338,0.0,0.25655462974564597,0.007376427343544449
iata,0.012048192771084338,0.0,0.2543555900621118,0.00434114503747357
icann,0.012048192771084338,0.0,0.2580419029615627,0.004969833619526955
intel-security,0.012048192771084338,0.0,0.24592391304347827,0.003226775304154498
irs-ci,0.012048192771084338,0.0,0.21607877796538627,0.0034213342054907484
irs-ci-cyber-crimes-unit,0.012048192771084338,0.0,0.25655462974564597,0.007376427343544449
irs-criminal-investigation,0.012048192771084338,0.0,0.25655462974564597,0.007376427343544449
latvia-state-police,0.012048192771084338,0.0,0.2521939278236236,0.010552921131005234
london-metropolitan-police,0.012048192771084338,0.0,0.25655462974564597,0.003591062005771292
lueneburg-police-germany,0.012048192771084338,0.0,0.25655462974564597,0.007556165686735501
mcafee-advanced-threat-research,0.012048192771084338,0.0,0.24936822555109,0.008598201231096808
ministry-of-internal-affairs-of-georgia,0.012048192771084338,0.0,0.25655462974564597,0.007556165686735501
morocco-dgsn,0.012048192771084338,0.0,0.19565814620162444,0.0001799882729007228
national-police-of-ukraine,0.012048192771084338,0.0,0.25655462974564597,0.007556165686735501
netherlands-om,0.012048192771084338,0.0,0.246605142719499,0.005632289469393299
nigeria-efcc,0.012048192771084338,0.0,0.19565814620162444,0.00016704710246312433
office-of-the-prosecutor-general-of-georgia,0.012048192771084338,0.0,0.25655462974564597,0.007556165686735501
office-of-the-prosecutor-general-of-the-republic-of-moldova,0.012048192771084338,0.0,0.25655462974564597,0.007556165686735501
pakistan-fia,0.012048192771084338,0.0,0.21873330840722147,0.00400463187042515
perseuss,0.012048192771084338,0.0,0.2543555900621118,0.00434114503747357
