op_slug,country_slug
operation-shrouded-horizon,macedonia
operation-shrouded-horizon,nigeria
operation-shrouded-horizon,romania
operation-shrouded-horizon,serbia
operation-shrouded-horizon,sweden
operation-shrouded-horizon,united-kingdom
operation-shrouded-horizon,united-states
operation-source,eu-member-states
operation-source,netherlands
operation-source,united-states
operation-stream-kidflix,germany
operation-stream-kidflix,netherlands
operation-synergia-ii,estonia
operation-synergia-ii,hong-kong
operation-synergia-ii,macau
operation-synergia-ii,madagascar
operation-synergia-ii,mongolia
operation-taken-down-illegal-iptv-2024,croatia
operation-taken-down-illegal-iptv-2024,italy
operation-taken-down-illegal-iptv-2024,netherlands
operation-taken-down-illegal-iptv-2024,romania
operation-taken-down-illegal-iptv-2024,sweden
operation-taken-down-illegal-iptv-2024,switzerland
operation-taken-down-illegal-iptv-2024,united-kingdom
operation-talent,australia
operation-talent,france
operation-talent,germany
operation-talent,greece
operation-talent,italy
operation-talent,romania
operation-talent,spain
operation-talent,united-states
operation-wirewire,canada
operation-wirewire,mauritius
operation-wirewire,nigeria
operation-wirewire,poland
operation-wirewire,united-states
phobos-8base-crackdown,belgium
phobos-8base-crackdown,czechia
phobos-8base-crackdown,france
phobos-8base-crackdown,germany
phobos-8base-crackdown,japan
phobos-8base-crackdown,poland
phobos-8base-crackdown,romania
phobos-8base-crackdown,singapore
phobos-8base-crackdown,south-korea
phobos-8base-crackdown,spain
phobos-8base-crackdown,sweden
phobos-8base-crackdown,switzerland
phobos-8base-crackdown,thailand
phobos-8base-crackdown,united-kingdom
phobos-8base-crackdown,united-states
qakbot-gallyamov-indictment,canada
qakbot-gallyamov-indictment,denmark
qakbot-gallyamov-indictment,france
qakbot-gallyamov-indictment,germany
qakbot-gallyamov-indictment,netherlands
qakbot-gallyamov-indictment,united-kingdom
qakbot-gallyamov-indictment,united-states
qqaazz-money-laundering-takedown,bulgaria
qqaazz-money-laundering-takedown,georgia
qqaazz-money-laundering-takedown,latvia
qqaazz-money-laundering-takedown,portugal
qqaazz-money-laundering-takedown,spain
qqaazz-money-laundering-takedown,united-kingdom
qqaazz-money-laundering-takedown,united-states
ramnit-botnet-takedown,germany
ramnit-botnet-takedown,italy
ramnit-botnet-takedown,netherlands
ramnit-botnet-takedown,united-kingdom
simda-botnet-takedown,japan
simda-botnet-takedown,luxembourg
simda-botnet-takedown,netherlands
simda-botnet-takedown,poland
simda-botnet-takedown,russia
simda-botnet-takedown,singapore
simda-botnet-takedown,united-states
trickbot-operations,south-korea
trickbot-operations,united-states
vpnlab-takedown,canada
vpnlab-takedown,czech-republic
vpnlab-takedown,france
vpnlab-takedown,germany
vpnlab-takedown,hungary
vpnlab-takedown,latvia
vpnlab-takedown,netherlands
vpnlab-takedown,ukraine
vpnlab-takedown,united-kingdom
vpnlab-takedown,united-states
xdedic-marketplace-takedown,belgium
xdedic-marketplace-takedown,bulgaria
xdedic-marketplace-takedown,estonia
xdedic-marketplace-takedown,georgia
xdedic-marketplace-takedown,germany
xdedic-marketplace-takedown,latvia
xdedic-marketplace-takedown,lithuania
xdedic-marketplace-takedown,moldova
xdedic-marketplace-takedown,netherlands
xdedic-marketplace-takedown,poland
xdedic-marketplace-takedown,romania
xdedic-marketplace-takedown,spain
xdedic-marketplace-takedown,switzerland
xdedic-marketplace-takedown,ukraine
xdedic-marketplace-takedown,united-kingdom
xdedic-marketplace-takedown,united-states
zeus-spyeye-jit-takedown,austria
zeus-spyeye-jit-takedown,belgium
zeus-spyeye-jit-takedown,estonia
zeus-spyeye-jit-takedown,finland
zeus-spyeye-jit-takedown,germany
zeus-spyeye-jit-takedown,latvia
zeus-spyeye-jit-takedown,moldova
zeus-spyeye-jit-takedown,netherlands
zeus-spyeye-jit-takedown,norway
zeus-spyeye-jit-takedown,poland
zeus-spyeye-jit-takedown,ukraine
zeus-spyeye-jit-takedown,united-kingdom
zeus-spyeye-jit-takedown,united-states
