excel_sheet,excel_row,year,operation_name_raw,operation_name_canonical_candidate,source_url,matched_source_slug,matched_operation_slug,excel_agencies,wiki_agencies,excel_countries,wiki_countries,excel_crime_types,wiki_crime_types,review_status,review_note
1_데이터수집(URL),50,2024,(가칭)Operation Telangana Scam,operation-telangana-scam,https://the420.in/telangana-cyber-security-bureau-cracks-down-on-cybercrime-arrests-21-cybercrime-criminals-in-major-operation/,,imminent-monitor-rat-takedown,,australia-afp;eurojust;europol-ec3,india,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
1_데이터수집(URL),51,2024,(가칭)Operation Naija CyberFront,operation-naija-cyberfront,https://www.arise.tv/interpol-nigeria-setting-pace-in-fight-against-cybercrime-in-africa/#google_vignette,,imminent-monitor-rat-takedown,interpol;uk-nca,australia-afp;eurojust;europol-ec3,france;united-kingdom,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),52,2024,(가칭)Operation Grandparent Scam,operation-grandparent-scam,https://dominicantoday.com/dr/local/2024/09/25/santiago-prosecutors-office-charges-21-in-major-cybercrime-operation-targeting-elderly-americans/,,imminent-monitor-rat-takedown,fbi-cyber-division;us-doj,australia-afp;eurojust;europol-ec3,united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
1_데이터수집(URL),53,2024,(가칭)Operation Kandy Sweep,operation-kandy-sweep,https://lankasara.com/news/the-growing-menace-of-chinese-cyber-criminals-in-sri-lanka-behind-the-kandy-arrest/,,imminent-monitor-rat-takedown,,australia-afp;eurojust;europol-ec3,china;india,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),55,2024,(가칭)Operation Quezon FakeGov,operation-quezon-fakegov,https://dailypost.ng/2024/10/29/nigerian-national-wanted-in-us-cybercrime-case-arrested-in-philippines/,,imminent-monitor-rat-takedown,fbi-cyber-division;us-doj,australia-afp;eurojust;europol-ec3,united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
1_데이터수집(URL),56,2025,(가칭)Operation Karen Weblords,operation-karen-weblords,https://www.scworld.com/news/massive-cybercrime-operation-traced-back-to-myanmar-warlord,,imminent-monitor-rat-takedown,us-doj,australia-afp;eurojust;europol-ec3,united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
1_데이터수집(URL),58,2025,(가칭)Operation Mekong ScamGrid,operation-mekong-scamgrid,https://www.occrp.org/en/news/un-transnational-cybercrime-in-southeast-asia-hits-record-high,,imminent-monitor-rat-takedown,,australia-afp;eurojust;europol-ec3,,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
1_데이터수집(URL),59,2025,(가칭)Operation Grey Nickel,operation-grey-nickel,https://www.scworld.com/brief/iproov-uncovers-ai-driven-cybercrime-operation,,imminent-monitor-rat-takedown,,australia-afp;eurojust;europol-ec3,,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
1_데이터수집(URL),60,2023,(가칭)Operation EuroPak Fraud,operation-europak-fraud,https://therecord.media/pakistan-cybercrime-busted-dutch-doj,,imminent-monitor-rat-takedown,dutch-police,australia-afp;eurojust;europol-ec3,netherlands,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
1_데이터수집(URL),61,2023,(가칭)Operation SA-ID Theft,operation-sa-id-theft,https://techpoint.africa/news/interpol-busts-cybercrime-in-south-africa/,,imminent-monitor-rat-takedown,interpol,australia-afp;eurojust;europol-ec3,,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),65,2025,(가칭)Operation FourSeas,operation-fourseas,https://www.gmanetwork.com/regionaltv/news/108133/17-taiwanese-in-cebu-city-fall-in-nbi-cybercrime-operation/story/,,imminent-monitor-rat-takedown,,australia-afp;eurojust;europol-ec3,,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
1_데이터수집(URL),66,2024,(가칭)Operation Jackpot Crew,operation-jackpot-crew,https://gbhackers.com/two-cybercriminals-arrested/,,imminent-monitor-rat-takedown,fbi-cyber-division;us-doj,australia-afp;eurojust;europol-ec3,united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
1_데이터수집(URL),67,2024,(가칭)Operation Naija-Japan Scam,operation-naija-japan-scam,https://www.thecable.ng/npf-eleven-cybercrime-suspects-arrested-33320-recovered-in-joint-operation-with-japanese-police/,,imminent-monitor-rat-takedown,,australia-afp;eurojust;europol-ec3,,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
1_데이터수집(URL),68,2025,(가칭)Operation Kanlaon Tower,operation-kanlaon-tower,https://usa.inquirer.net/172272/indonesia-extradites-29-cybercrime-suspects,,imminent-monitor-rat-takedown,interpol,australia-afp;eurojust;europol-ec3,,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
2_데이터추출(국가_기관_범죄유형),3,2015,FIN7,operation-fin7,https://www.fbi.gov/contact-us/field-offices/seattle/news/stories/how-cyber-crime-group-fin7-attacked-and-stole-data-from-hundreds-of-us-companies,2018-01-01_fbi-gov_how-cyber-crime-group-fin7-attacked-and-stole-data-from-hundreds-of-us-companies,carbanak-cobalt-takedown,fbi-cyber-division;us-doj,europol-ec3;fbi;kaspersky-lab;romanian-police;spanish-national-police,australia;france;russia;ukraine;united-kingdom;united-states,romania;spain;united-states,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
2_데이터추출(국가_기관_범죄유형),5,2015,JPMorgan,operation-jpmorgan,https://www.wsj.com/articles/accused-mastermind-of-j-p-morgan-hack-a-product-of-israels-internet-underbelly-1448101982,,,fbi-cyber-division;us-doj,,georgia;israel;russia;united-states,,,,out_of_scope_or_non_ic,no_target_five_crime_type_detected
2_데이터추출(국가_기관_범죄유형),6,2015,Operation Pleiades,operation-pleiades,https://www.europol.europa.eu/media-press/newsroom/news/international-action-against-dd4bc-cybercriminal-group,2015-12-01_europol-europa-eu_international-action-against-dd4bc-cybercriminal-group,operation-pleiades,europol-ec3;fbi-cyber-division;germany-bka;interpol,europol-ec3;fbi;interpol;j-cat;london-metropolitan-police;us-secret-service,australia;austria;france;germany;romania;switzerland;united-kingdom;united-states,australia;austria;bosnia-and-herzegovina;france;germany;japan;romania;switzerland;united-kingdom;united-states,,ransomware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
2_데이터추출(국가_기관_범죄유형),13,2016,DDoS-for-hire,operation-ddos-for-hire,https://www.fbi.gov/news/stories/international-cyber-sweep-nets-ddos-attackers,2016-12-09_fbi-gov_international-cyber-sweep-nets-ddos-attackers,ddos-for-hire-sweep-2016,dutch-police;europol-ec3;fbi-cyber-division;uk-nca,europol-ec3;fbi,australia;belgium;france;lithuania;netherlands;norway;romania;spain;sweden;united-kingdom;united-states,australia;belgium;france;hungary;lithuania;netherlands;norway;portugal;romania;spain;sweden;united-kingdom;united-states,,,out_of_scope_or_non_ic,no_target_five_crime_type_detected
2_데이터추출(국가_기관_범죄유형),14,2016,Global Airport Action Day,operation-global-airport-action-day,https://www.interpol.int/News-and-Events/News/2016/Global-Airport-Action-Day-targets-airline-ticket-fraudsters,2016-10-19_interpol-int_global-airport-action-day-targets-airline-ticket-fraudsters,global-airport-action-day,europol-ec3;interpol,ameripol;eurojust;europol-ec3;frontex;iata;interpol;perseuss,canada;united-states,canada;united-states,,dark-web-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
2_데이터추출(국가_기관_범죄유형),16,2016,Operation Ciconia Alba,operation-ciconia-alba,https://www.europol.europa.eu/media-press/newsroom/news/international-operation-ciconia-alba-kicks-to-crack-down-organised-crime,,imminent-monitor-rat-takedown,europol-ec3;interpol,australia-afp;eurojust;europol-ec3,canada;united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
2_데이터추출(국가_기관_범죄유형),18,2016,(가칭)Operation Mike,operation-mike,https://news.sophos.com/en-us/2016/08/02/nigerian-scammer-arrested-for-60-million-email-fraud/,,imminent-monitor-rat-takedown,interpol,australia-afp;eurojust;europol-ec3,china;united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
2_데이터추출(국가_기관_범죄유형),20,2017,Bakovia,operation-bakovia,https://cyberscoop.com/ctb-locker-cerber-ransomware-arrests-europol-mcafee/,2017-12-01_cyberscoop-com_ctb-locker-cerber-ransomware-arrests-europol-mcafee,operation-bakovia,dutch-police;europol-ec3;fbi-cyber-division;uk-nca,eurojust;europol-ec3;fbi-cyber-division;mcafee-advanced-threat-research;netherlands-politie;romania-diicot;uk-nca,netherlands;romania;united-kingdom;united-states,netherlands;romania;united-kingdom;united-states,,malware-ic;ransomware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
2_데이터추출(국가_기관_범죄유형),23,2017,(가칭)Operation Teenage Breach,operation-teenage-breach,https://www.walesonline.co.uk/news/wales-news/teenager-wales-charged-international-computer-11737455,,imminent-monitor-rat-takedown,europol-ec3,australia-afp;eurojust;europol-ec3,united-kingdom;united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
2_데이터추출(국가_기관_범죄유형),24,2017,(가칭)Operation CardHack London,operation-cardhack-london,https://www.bbc.com/news/uk-41240643,,imminent-monitor-rat-takedown,uk-nca,australia-afp;eurojust;europol-ec3,united-kingdom,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
